potěr,fry [fraɪ]
pyramida,pyramid [ˈpɪr.ə.mɪd]
relevance,relevance [ˈrel.ə.vəns]
vzdáleně,remotely [rɪˈməʊt.li]
rigidní,rigid [ˈrɪdʒ.ɪd]
osadník,settler [ˈset.lər]
rozbít,shatter [ˈʃæt.ər]
nádherný,splendid [ˈsplen.dɪd]
dalekohled,telescope [ˈtel.ɪ.skəʊp]
Temp,temp [temp]
ukončit,terminate [ˈtɜː.mɪ.neɪt]
textilní,textile [ˈtek.staɪl]
tloušťka,thickness [ˈθɪk.nəs]
podnos,tray [treɪ]
nepřiměřené,unreasonable [ʌnˈriː.zən.ə.bəl]
nejistý,unsure [ʌnˈʃɔːr]
nahoru,upwards [ˈʌp.wədz]
ocenění,valuation [ˌvæl.juˈeɪ.ʃən]
Veterinární,veterinary [ˈvet.ər.ɪ.nər.i]
vesničan,villager [ˈvɪl.ɪ.dʒər]
pobavení,amusement [əˈmjuːz.mənt]
antibiotikum,antibiotic [ˌæn.ti.baɪˈɒt.ɪk]
očekávání,anticipation [ænˌtɪs.ɪˈpeɪ.ʃən]
vhodně,appropriately [əˈprəʊ.pri.ət.li]
arogantní,arrogant [ˈær.ə.ɡənt]
povolení,authorization [ˌɔː.θər.aɪˈzeɪ.ʃən]
pomocný,auxiliary [ɔːɡˈzɪl.i.ə.ri]
zavazadla,baggage [ˈbæɡ.ɪdʒ]
maják,beacon [ˈbiː.kən]
Bounty,bounty [ˈbaʊn.ti]
boxer,boxer [ˈbɒk.sər]
briefing,briefing [ˈbriː.fɪŋ]
potok,brook [brʊk]
keramický,ceramic [səˈræm.ɪk]
obiloviny,cereal [ˈsɪə.ri.əl]
Challenger,challenger [ˈtʃæl.ɪn.dʒər]
duchovenstvo,clergy [ˈklɜː.dʒi]
Cola,cola [ˈkəʊ.lə]
kóma,coma [ˈkəʊ.mə]
pohodlně,comfortably [ˈkʌmf.tə.bli]
kompas,compass [ˈkʌm.pəs]
opovržení,contempt [kənˈtempt]
sestoupit,descend [dɪˈsend]
zmizení,disappearance [ˌdɪs.əˈpɪə.rəns]
přebývat,dwell [dwel]
ekologie,ecology [iˈkɒl.ə.dʒi]
vznik,emergence [ɪˈmɜː.dʒəns]
přiložit,enclose [ɪnˈkləʊz]
vytrvalost,endurance [ɪnˈdʒʊə.rəns]
erotický,erotic [ɪˈrɒt.ɪk]
evakuace,evacuation [ɪˌvæk.juˈeɪ.ʃən]
výjimečně,exceptionally [ɪkˈsep.ʃən.əl.i]
výdaje,expenditure [ɪkˈspen.dɪ.tʃər]
sokol,falcon [ˈfɒl.kən]
Složka,folder [ˈfəʊl.dər]
vystrašit,frighten [ˈfraɪ.tən]
drážka,groove [ɡruːv]
živý plot,hedge [hedʒ]
homosexualita,homosexuality [ˌhəʊ.mə.sek.ʃuˈæl.ə.ti]
napadnout,invade [ɪnˈveɪd]
ironicky,ironically [aɪˈrɒn.ɪ.kəl.i]
žárlivost,jealousy [ˈdʒel.ə.si]
žolík,joker [ˈdʒəʊ.kər]
naložený,laden [ˈleɪ.dən]
meta,meta [ˈmet.ə]
Mil,mil [ˌdɒtˈmɪl]
kývnutí,nod [nɒd]
Notebook,notebook [ˈnəʊt.bʊk]
nadváha,overweight [ˌəʊ.vəˈweɪt]
paleta,palette [ˈpæl.ət]
odložit,postpone [pəʊstˈpəʊn]
silný,potent [ˈpəʊ.tənt]
předcházet,precede [prɪˈsiːd]
dravec,predator [ˈpred.ə.tər]
deštivý,rainy [ˈreɪ.ni]
renovace,renovation [ˌren.əˈveɪ.ʃən]
ctihodný,reverend [ˈrev.ər.ənd]
rez,rust [rʌst]
slaný,salty [ˈsɒl.ti]
Skot,scot [skɒt]
kontrola,scrutiny [ˈskruː.tɪ.ni]
záchvat,seizure [ˈsiː.ʒər]
sérum,serum [ˈsɪə.rəm]
singulární,singular [ˈsɪŋ.ɡjə.lər]
brusle,skate [skeɪt]
bloudí,stray [streɪ]
Stud,stud [stʌd]
večeře,supper [ˈsʌp.ər]
miláček,sweetheart [ˈswiːt.hɑːt]
systémové,systemic [sɪˈstem.ɪk]
tempo,tempo [ˈtem.pəʊ]
z toho,thereof [ˌðeəˈrɒv]
žíznivý,thirsty [ˈθɜː.sti]
pochodeň,torch [tɔːtʃ]
Turbo,turbo [ˈtɜː.bəʊ]
nezměněn,unchanged [ʌnˈtʃeɪndʒd]
srozumitelný,understandable [ˌʌn.dəˈstæn.də.bəl]
sloupek,upright [ˈʌp.raɪt]
povstání,uprising [ˈʌpˌraɪ.zɪŋ]
marný,vain [veɪn]
marnost,vanity [ˈvæn.ə.ti]
housle,violin [ˌvaɪəˈlɪn]
čímž,whereby [weəˈbaɪ]
šepot,whisper [ˈwɪs.pər]
akcelerace,acceleration [əkˌsel.əˈreɪ.ʃən]
hliník,aluminium [ˌæl.jəˈmɪn.i.əm]
Analytical,analytical [ˌæn.əˈlɪt.ɪ.kəl]
pasáž,arcade [ɑːˈkeɪd]
astma,asthma [ˈæs.mə]
Aurora,aurora [ɔːˈrɔː.rə]
bakteriální,bacterial [bækˈtɪə.ri.əl]
bankrot,bankrupt [ˈbæŋ.krʌpt]
blikat,blink [blɪŋk]
dětinský,childish [ˈtʃaɪl.dɪʃ]
Chili,chili [ˈtʃɪl.i]
cívka,coil [kɔɪl]
složka,constituent [kənˈstɪtʃ.u.ənt]
tvrzení,contention [kənˈten.ʃən]
smlouva,covenant [ˈkʌv.ən.ənt]
Das,das [ˌdiːˈeɪ]
dis,dis [dɪs]
ostuda,disgrace [dɪsˈɡreɪs]
emiráty,emirate [ˈem.ɪ.rət]
eventuální,eventual [ɪˈven.tʃu.əl]
vynikat,excel [ɪkˈsel]
za prvé,firstly [ˈfɜːst.li]
chuť,flavour [ˈfleɪ.vər]
flex,flex [fleks]
rod,genus [ˈdʒiː.nəs]
hrozny,grape [ɡreɪp]
chamtivost,greed [ɡriːd]
pozdravit,greet [ɡriːt]
přadeno,hank [hæŋk]
hadice,hose [həʊz]
zánět,inflammation [ˌɪn.fləˈmeɪ.ʃən]
Ko,ko [ˌkeɪˈəʊ]
láva,lava [ˈlɑː.və]
magnet,magnet [ˈmæɡ.nət]
metafora,metaphor [ˈmet.ə.fɔːr]
milionář,millionaire [ˌmɪl.jəˈneər]
černoch,negro [ˈniː.ɡrəʊ]
null,null [nʌl]
orientální,oriental [ˌɔː.riˈen.təl]
pakt,pact [pækt]
Paramount,paramount [ˈpær.ə.maʊnt]
paranoidní,paranoid [ˈpær.ən.ɔɪd]
patron,patron [ˈpeɪ.trən]
Popcorn,popcorn [ˈpɒp.kɔːn]
Proxy,proxy [ˈprɒk.si]
kvantitativní,quantitative [ˈkwɒn.tɪ.tə.tɪv]
znovu získat,regain [rɪˈɡeɪn]
připomínat,resemble [rɪˈzem.bəl]
retardovaný,retarded [rɪˈtɑː.dɪd]
vzpoura,revolt [rɪˈvəʊlt]
správně,rightly [ˈraɪt.li]
sedlo,saddle [ˈsæd.əl]
vzdělávání,schooling [ˈskuː.lɪŋ]
svatyně,shrine [ʃraɪn]
Zmenší se,shrink [ʃrɪŋk]
odstřelovač,sniper [ˈsnaɪ.pər]
osamělý,solitary [ˈsɒl.ɪ.tər.i]
zármutek,sorrow [ˈsɒr.əʊ]
Stoke,stoke [stəʊk]
ukončení,termination [ˌtɜː.mɪˈneɪ.ʃən]
stehno,thigh [θaɪ]
vzkvétat,thrive [θraɪv]
troll,troll [trəʊl]
odhalit,uncover [ʌnˈkʌv.ər]
podnikat,undertake [ˌʌn.dəˈteɪk]
vesta,vest [vest]
réva,vine [vaɪn]
záruka,warranty [ˈwɒr.ən.ti]
oslabit,weaken [ˈwiː.kən]
yen,yen [jen]
ulička,aisle [aɪl]
všemohoucí,almighty [ɔːlˈmaɪ.ti]
oděv,apparel [əˈpær.əl]
arbitráž,arbitration [ˌɑː.bɪˈtreɪ.ʃən]
artefakt,artifact [ˈɑː.tə.fækt]
Auburn,auburn [ˈɔː.bən]
probuzení,awakening [əˈweɪ.kən.ɪŋ]
bilaterální,bilateral [ˌbaɪˈlæt.ər.əl]
Brace,brace [breɪs]
titulek,caption [ˈkæp.ʃən]
sytič,choke [tʃəʊk]
Cholesterol,cholesterol [kəˈles.tər.ɒl]
nóbl,classy [ˈklɑː.si]
přinutit,compel [kəmˈpel]
skrývat,conceal [kənˈsiːl]
konfrontace,confrontation [ˌkɒn.frʌnˈteɪ.ʃən]
přispěvatel,contributor [kənˈtrɪb.jə.tər]
Deluxe,deluxe [dɪˈlʌks]
zpustošit,devastate [ˈdev.ə.steɪt]
přestrojení,disguise [dɪsˈɡaɪz]
propuštění,dismissal [dɪˈsmɪs.əl]
přízemí,downstairs [ˌdaʊnˈsteəz]
empatie,empathy [ˈem.pə.θi]
soubor,ensemble [ˌɒnˈsɒm.bəl]
realizovatelný,feasible [ˈfiː.zə.bəl]
vadný,flawed [flɔːd]
tuk,grease [ɡriːs]
chodba,hallway [ˈhɔːl.weɪ]
homosexuál,homosexual [ˌhəʊ.məˈsek.ʃu.əl]
vrak,hulk [hʌlk]
Hydraulické,hydraulic [haɪˈdrɒl.ɪk]
impuls,impulse [ˈɪm.pʌls]
neschopný,incapable [ɪnˈkeɪ.pə.bəl]
zánětlivé,inflammatory [ɪnˈflæm.ə.tər.i]
šílenství,insanity [ɪnˈsæn.ə.ti]
UNISTERURE,insecure [ˌɪn.sɪˈkjʊər]
úmyslné,intentional [ɪnˈten.ʃən.əl]
uzel,knot [nɒt]
přednášející,lecturer [ˈlek.tʃər.ər]
chtíč,lust [lʌst]
mikrofon,microphone [ˈmaɪ.krə.fəʊn]
miniaturní,miniature [ˈmɪn.ə.tʃər]
motto,motto [ˈmɒt.əʊ]
státní příslušnost,nationality [ˌnæʃ.ənˈæl.ə.ti]
počátek,onset [ˈɒn.set]
pronásledování,persecution [ˌpɜː.sɪˈkjuː.ʃən]
benzín,petrol [ˈpet.rəl]
filozof,philosopher [fɪˈlɒs.ə.fər]
plantáž,plantation [plænˈteɪ.ʃən]
v současné době,presently [ˈprez.ənt.li]
próza,prose [prəʊz]
prostituce,prostitution [ˌprɒs.tɪˈtʃuː.ʃən]
radioaktivní,radioactive [ˌreɪ.di.əʊˈæk.tɪv]
břitva,razor [ˈreɪ.zər]
realizace,realization [ˌrɪə.laɪˈzeɪ.ʃən]
smíření,reconciliation [ˌrek.ənˌsɪl.iˈeɪ.ʃən]
koberec,rug [rʌɡ]
heslo,slogan [ˈsləʊ.ɡən]
sponzorství,sponsorship [ˈspɒn.sə.ʃɪp]
řídit,steer [stɪər]
jahoda,strawberry [ˈstrɔː.bər.i]
usilovat,strive [straɪv]
pokušení,temptation [tempˈteɪ.ʃən]
dlaždice,tile [taɪl]
vlek,tow [təʊ]
neozbrojený,unarmed [ʌnˈɑːmd]
nedokončený,unfinished [ʌnˈfɪn.ɪʃt]
nezdravý,unhealthy [ʌnˈhel.θi]
protiprávní,unlawful [ʌnˈlɔː.fəl]
nepopulární,unpopular [ʌnˈpɒp.jə.lər]
zmizet,vanish [ˈvæn.ɪʃ]
sloveso,verb [vɜːb]
nestálý,volatile [ˈvɒl.ə.taɪl]
dobrovolně,voluntarily [ˈvɒl.ən.trəl.i]
abnormální,abnormal [æbˈnɔː.məl]
dostatek,ample [ˈæm.pəl]
analogie,analogy [əˈnæl.ə.dʒi]
vrchol,apex [ˈeɪ.peks]
apokalypsa,apocalypse [əˈpɒk.ə.lɪps]
zařízení,appliance [əˈplaɪ.əns]
zaostalý,backward [ˈbæk.wəd]
kývnutí,beck [bek]
bingo,bingo [ˈbɪŋ.ɡəʊ]
kotel,boiler [ˈbɔɪ.lər]
Bon,bon [ˌbɒ̃ vɔɪˈɑːʒ]
balvan,boulder [ˈbəʊl.dər]
tele,calf [kɑːf]
komentátor,commentator [ˈkɒm.ən.teɪ.tər]
konsolidace,consolidation [kənˌsɒl.ɪˈdeɪ.ʃən]
korek,cork [kɔːk]
kosmetický,cosmetic [kɒzˈmet.ɪk]
krychlový,cubic [ˈkjuː.bɪk]
potomek,descendant [dɪˈsen.dənt]
detektor,detector [dɪˈtek.tər]
strávit,digest [daɪˈdʒest]
diplomacie,diplomacy [dɪˈpləʊ.mə.si]
směrnice,directive [daɪˈrek.tɪv]
nevýhoda,disadvantage [ˌdɪs.ədˈvɑːn.tɪdʒ]
narušení,disruption [dɪsˈrʌp.ʃən]
dolů,downward [ˈdaʊn.wəd]
zdůraznit,emphasize [ˈem.fə.saɪz]
energický,energetic [ˌen.əˈdʒet.ɪk]
tření,friction [ˈfrɪk.ʃən]
Funk,funk [fʌŋk]
velikost,greatness [ˈɡreɪt.nəs]
Hacker,hacker [ˈhæk.ər]
nebezpečný,hazardous [ˈhæz.ə.dəs]
šlapka,hooker [ˈhʊk.ər]
beznadějný,hopeless [ˈhəʊp.ləs]
hodinově,hourly [ˈaʊə.li]
nepřímo,indirectly [ˌɪn.daɪˈrekt.li]
indukce,induction [ɪnˈdʌk.ʃən]
Nestabilita,instability [ˌɪn.stəˈbɪl.ə.ti]
lingvistické,linguistic [lɪŋˈɡwɪs.tɪk]
posluchač,listener [ˈlɪs.ən.ər]
smetí,litter [ˈlɪt.ər]
kus,lump [lʌmp]
Makro,macro [ˈmæk.rəʊ]
mag,mag [mæɡ]
smírčí soudce,magistrate [ˈmædʒ.ɪ.streɪt]
okrajový,marginal [ˈmɑː.dʒɪ.nəl]
mužský,masculine [ˈmæs.kjə.lɪn]
milník,milestone [ˈmaɪl.stəʊn]
džbánek,mug [mʌɡ]
obec,municipality [mjuːˌnɪs.ɪˈpæl.ə.ti]
houba,mushroom [ˈmʌʃ.ruːm]
neuron,neuron [ˈnjʊə.rɒn]
devadesát,ninety [ˈnaɪn.ti]
živina,nutrient [ˈnjuː.tri.ənt]
observatoř,observatory [əbˈzɜː.və.tər.i]
venku,outdoors [ˌaʊtˈdɔːz]
pěší,pedestrian [pəˈdes.tri.ən]
penetrace,penetration [ˌpen.ɪˈtreɪ.ʃən]
lusk,pod [pɒd]
pózování,posing [pəʊz]
nejlépe,preferably [ˈpref.ər.ə.bli]
proroctví,prophecy [ˈprɒf.ə.si]
pyšně,proudly [ˈpraʊd.li]
rekordér,recorder [rɪˈkɔː.dər]
Recur,recur [rɪˈkɜːr]
uctivý,respectful [rɪˈspekt.fəl]
rutinně,routinely [ruːˈtiːn.li]
pozdrav,salute [səˈluːt]
spodina,scum [skʌm]
závažnost,severity [sɪˈver.ə.ti]
Shady,shady [ˈʃeɪ.di]
Slack,slack [slæk]
úhledný,slick [slɪk]
spontánní,spontaneous [spɒnˈteɪ.ni.əs]
sporák,stove [stəʊv]
šablona,template [ˈtem.pleɪt]
teorém,theorem [ˈθɪə.rəm]
trakt,tract [trækt]
Tri,tri [traɪ-]
tribuna,tribune [ˈtrɪb.juːn]
nečekaně,unexpectedly [ˌʌn.ɪkˈspek.tɪd.li]
nahoru,upward [ˈʌp.wəd]
průhled,vista [ˈvɪs.tə]
móda,vogue [vəʊɡ]
sopečný,volcanic [vɒlˈkæn.ɪk]
divoce,wildly [ˈwaɪld.li]
pozdravovat,acclaim [əˈkleɪm]
akumulovat,accumulate [əˈkjuː.mjə.leɪt]
uctívat,adore [əˈdɔːr]
podobný,akin [əˈkɪn]
abeceda,alphabet [ˈæl.fə.bet]
učeň,apprentice [əˈpren.tɪs]
Dejte si pozor,beware [bɪˈweər]
bikiny,bikini [bɪˈkiː.ni]
bisexuální,bisexual [baɪˈsek.ʃu.əl]
bulvár,boulevard [ˈbuː.lə.vɑːd]
náramek,bracelet [ˈbreɪ.slət]
kapsle,capsule [ˈkæp.sjuːl]
zajatý,captive [ˈkæp.tɪv]
kronika,chronicle [ˈkrɒn.ɪ.kəl]
skořice,cinnamon [ˈsɪn.ə.mən]
pochopit,comprehend [ˌkɒm.prɪˈhend]
povinný,compulsory [kəmˈpʌl.sər.i]
komplic,confederate [kənˈfed.ər.ət]
kontaminovat,contaminate [kənˈtæm.ɪ.neɪt]
kontaminace,contamination [kənˌtæm.ɪˈneɪ.ʃən]
krédo,creed [kriːd]
křupavý,crisp [krɪsp]
kůra,crust [krʌst]
řezačka,cutter [ˈkʌt.ər]
dietní,dietary [ˈdaɪ.ə.tər.i]
disertační práce,dissertation [ˌdɪs.əˈteɪ.ʃən]
nadvláda,domination [ˌdɒm.ɪˈneɪ.ʃən]
flóra,flora [ˈflɔː.rə]
zlomenina,fracture [ˈfræk.tʃər]
funkce,functionality [ˌfʌŋk.ʃənˈæl.ə.ti]
gama,gamma [ˈɡæm.ə]
pohled,gaze [ɡeɪz]
genom,genome [ˈdʒiː.nəʊm]
štěrk,gravel [ˈɡræv.əl]
střih,haircut [ˈheə.kʌt]
ruch,hustle [ˈhʌs.əl]
líný,idle [ˈaɪ.dəl]
obžaloba,indictment [ɪnˈdaɪt.mənt]
nepravidelný,irregular [ɪˈreɡ.jə.lər]
šťavnatý,juicy [ˈdʒuː.si]
Jumper,jumper [ˈdʒʌm.pər]
končetina,limb [lɪm]
savec,mammal [ˈmæm.əl]
ručně,manually [ˈmæn.ju.ə.li]
bezvýznamný,meaningless [ˈmiː.nɪŋ.ləs]
tisíciletí,millennium [mɪˈlen.i.əm]
nedorozumění,misunderstanding [ˌmɪs.ʌn.dəˈstæn.dɪŋ]
náladový,moody [ˈmuː.di]
Nam,nam [ˌnæm ˈplɑː]
jehly,needles [ˈniː.dəl]
nudle,noodle [ˈnuː.dəl]
věštec,oracle [ˈɒr.ə.kəl]
překrytí,overlap [ˌəʊ.vəˈlæp]
nahlédnout,peek [piːk]
Pentagon,pentagon [ˈpen.tə.ɡən]
hrnčířství,pottery [ˈpɒt.ər.i]
prérie,prairie [ˈpreə.ri]
žert,prank [præŋk]
předčasné,premature [ˈprem.ə.tʃər]
psychiatr,psychiatrist [saɪˈkaɪə.trɪst]
Quad,quad [kwɒd]
křemen,quartz [ˈkwɔːts]
pobyt,residency [ˈrez.ɪ.dən.si]
reagovat,responsive [rɪˈspɒn.sɪv]
řev,roar [rɔːr]
trouchnivění,rot [rɒt]
kopí,spear [spɪər]
stimulace,stimulation [ˌstɪm.jəˈleɪ.ʃən]
pramen,strand [strænd]
stylový,stylish [ˈstaɪ.lɪʃ]
technik,technician [tekˈnɪʃ.ən]
přílivové,tidal [ˈtaɪ.dəl]
kalhoty,trouser [ˈtraʊ.zər]
neochotné,unwilling [ʌnˈwɪl.ɪŋ]
platnost,validity [vəˈlɪd.ə.ti]
Varsity,varsity [ˈvɑː.sə.ti]
ověření,verification [ˌver.ɪ.fɪˈkeɪ.ʃən]
slib,vow [vaʊ]
zranitelnost,vulnerability [ˌvʌl.nər.əˈbɪl.ə.ti]
ať už,whichever [wɪˈtʃev.ər]
hněv,wrath [rɒθ]
pomocník,aide [eɪd]
věrnost,allegiance [əˈliː.dʒəns]
apt,apt [æpt]
korálek,bead [biːd]
nápoj,beverage [ˈbev.ər.ɪdʒ]
požár,blaze [bleɪz]
nárazník,bumper [ˈbʌm.pər]
křída,chalk [tʃɔːk]
tácek,coaster [ˈkəʊ.stər]
volební obvod,constituency [kənˈstɪtʃ.u.ən.si]
kontingent,contingent [kənˈtɪn.dʒənt]
cyklista,cyclist [ˈsaɪ.klɪst]
zbavit,deprive [dɪˈpraɪv]
diplomat,diplomat [ˈdɪp.lə.mæt]
celistvost,entirety [ɪnˈtaɪə.rə.ti]
exodus,exodus [ˈek.sə.dəs]
rybolov,fishery [ˈfɪʃ.ər.i]
stádo,flock [flɒk]
Flyer,flyer [ˈflaɪ.ər]
fotbalista,footballer [ˈfʊt.bɔː.lər]
lesnictví,forestry [ˈfɒr.ɪ.stri]
Grim,grim [ɡrɪm]
bezmocný,helpless [ˈhelp.ləs]
polokoule,hemisphere [ˈhem.ɪ.sfɪər]
hyper,hyper [ˈhaɪ.pər]
nepohodlí,inconvenience [ˌɪn.kənˈviː.ni.əns]
injekční,inject [ɪnˈdʒekt]
intrika,intrigue [ɪnˈtriːɡ]
invazivní,invasive [ɪnˈveɪ.sɪv]
zavlažování,irrigation [ˌɪr.ɪˈɡeɪ.ʃən]
zabíjení,killing [ˈkɪl.ɪŋ]
konečně,lastly [ˈlɑːst.li]
rtěnka,lipstick [ˈlɪp.stɪk]
manipulovat,manipulate [məˈnɪp.jə.leɪt]
Mart,mart [mɑːt]
Midway,midway [ˌmɪdˈweɪ]
vlhký,moist [mɔɪst]
truchlit,mourn [mɔːn]
MU,mu [mjuː]
hořčice,mustard [ˈmʌs.təd]
záporně,negatively [ˈneɡ.ə.tɪv.li]
Persona,persona [pəˈsəʊ.nə]
plak,plaque [plɑːk]
poetický,poetic [pəʊˈet.ɪk]
kázat,preach [priːtʃ]
čistota,purity [ˈpjʊə.rə.ti]
rabín,rabbi [ˈræb.aɪ]
realismus,realism [ˈrɪə.lɪ.zəm]
lopatka,scoop [skuːp]
skotská,scotch [skɒtʃ]
drhnutí,scrub [skrʌb]
šití,sewing [ˈsəʊ.ɪŋ]
břidlice,shale [ʃeɪl]
holeň,shin [ʃɪn]
natáčení,shooting [ˈʃuː.tɪŋ]
zjednodušit,simplify [ˈsɪm.plɪ.faɪ]
sol,sol [sɒl]
advokát,solicitor [səˈlɪs.ɪ.tər]
Sophomore,sophomore [ˈsɒf.ə.mɔːr]
letka,squadron [ˈskwɒd.rən]
veverka,squirrel [ˈskwɪr.əl]
stigma,stigma [ˈstɪɡ.mə]
troud,tinder [ˈtɪn.dər]
zrádce,traitor [ˈtreɪ.tər]
podcenění,underestimate [ˌʌn.dəˈres.tɪ.meɪt]
tapeta,wallpaper [ˈwɔːlˌpeɪ.pər]
watt,watt [wɒt]
vrba,willow [ˈwɪl.əʊ]
Ale,ale [eɪl]
archeologický,archaeological [ˌɑː.ki.əˈlɒdʒ.ɪ.kəl]
bouchání,banging [ˈbæŋ.ɪŋ]
koupání,bathing [ˈbeɪ.ðɪŋ]
zrada,betrayal [bɪˈtreɪ.əl]
lepení,bonding [ˈbɒn.dɪŋ]
kardiovaskulární,cardiovascular [ˌkɑː.di.əʊˈvæs.kjə.lər]
šik,chic [ʃiːk]
klon,clone [kləʊn]
komunální,communal [ˈkɒm.jə.nəl]
konsorcium,consortium [kənˈsɔː.ti.əm]
kurýr,courier [ˈkʊr.i.ər]
debatující,debating [dɪˈbeɪt]
katastrofální,disastrous [dɪˈzɑː.strəs]
bubeník,drummer [ˈdrʌm.ər]
odolný,durable [ˈdʒʊə.rə.bəl]
účinnost,efficacy [ˈef.ɪ.kə.si]
přehnaný,exaggerated [ɪɡˈzædʒ.ə.reɪ.tɪd]
vyloučení,exclusion [ɪksˈkluː.ʒən]
zapalování,ignition [ɪɡˈnɪʃ.ən]
vyšetřovací,investigative [ɪnˈves.tɪ.ɡə.tɪv]
klenot,jewel [ˈdʒuː.əl]
manifest,manifest [ˈmæn.ɪ.fest]
vzájemně,mutually [ˈmjuː.tʃu.ə.li]
navigovat,navigate [ˈnæv.ɪ.ɡeɪt]
obézní,obese [əʊˈbiːs]
dosah,outreach [ˈaʊt.riːtʃ]
pandemický,pandemic [pænˈdem.ɪk]
obvod,perimeter [pəˈrɪm.ɪ.tər]
štika,pike [paɪk]
dudák,piper [ˈpaɪ.pər]
kazatel,preacher [ˈpriː.tʃər]
zadávání zakázek,procurement [prəˈkjʊə.mənt]
ochránce,protector [prəˈtek.tər]
buničina,pulp [pʌlp]
výkupné,ransom [ˈræn.səm]
role,reel [riːl]
reg,reg [redʒ]
zkouška,rehearsal [rəˈhɜː.səl]
restart,restart [ˌriːˈstɑːt]
oživit,revive [rɪˈvaɪv]
rigorózní,rigorous [ˈrɪɡ.ər.əs]
šátek,scarf [skɑːf]
scenérie,scenery [ˈsiː.nər.i]
smyslové,sensory [ˈsen.sər.i]
chodník,sidewalk [ˈsaɪd.wɔːk]
skeptický,skeptical [ˈskep.tɪ.kəl]
ospalý,sleepy [ˈsliː.pi]
hladce,smoothly [ˈsmuːð.li]
sešík,staple [ˈsteɪ.pəl]
stereotyp,stereotype [ˈster.i.ə.taɪp]
omráčit,stun [stʌn]
potlačení,suppression [-ˈpreʃ.ən]
terminologie,terminology [ˌtɜː.mɪˈnɒl.ə.dʒi]
divadelní,theatrical [θiˈæt.rɪ.kəl]
časovač,timer [ˈtaɪ.mər]
cestovatel,traveller [ˈtræv.əl.ər]
účast,turnout [ˈtɜːn.aʊt]
jednomyslný,unanimous [juːˈnæn.ɪ.məs]
nepředvídatelné,unpredictable [ˌʌn.prɪˈdɪk.tə.bəl]
ověření,validation [ˌvæl.ɪˈdeɪ.ʃən]
pomsta,vengeance [ˈven.dʒəns]
vizuálně,visually [ˈvɪʒ.u.ə.li]
udivující,astonishing [əˈstɒn.ɪ.ʃɪŋ]
pekárna,bakery [ˈbeɪ.kər.i]
věřící,believer [bɪˈliː.vər]
chaotický,chaotic [keɪˈɒt.ɪk]
nabíječka,charger [ˈtʃɑː.dʒər]
komerčně,commercially [kəˈmɜː.ʃəl.i]
zbabělec,coward [ˈkaʊ.əd]
důlek,dent [dent]
zmenšit,diminish [dɪˈmɪn.ɪʃ]
holubice,dove [dʌv]
zaprášený,dusty [ˈdʌs.ti]
osvícení,enlightenment [ɪnˈlaɪ.tən.mənt]
ohnisko,focal [ˈfəʊ.kəl]
děsivý,frightening [ˈfraɪ.tən.ɪŋ]
Gala,gala [ˈɡɑː.lə]
zahrádkářství,gardening [ˈɡɑː.dən.ɪŋ]
posádka,garrison [ˈɡær.ɪ.sən]
rád,gladly [ˈɡlæd.li]
Goodwill,goodwill [ɡʊdˈwɪl]
postupný,gradual [ˈɡrædʒ.u.əl]
pozdrav,greeting [ˈɡriː.tɪŋ]
postroj,harness [ˈhɑː.nəs]
srdeční rytmus,heartbeat [ˈhɑːt.biːt]
bezprostřední,imminent [ˈɪm.ɪ.nənt]
inaugurační,inaugural [ɪˈnɔː.ɡjə.rəl]
izolace,insulation [ˌɪn.sjəˈleɪ.ʃən]
internovat,intern [ˈɪn.tɜːn]
nezodpovědný,irresponsible [ˌɪr.ɪˈspɒn.sə.bəl]
zpoždění,lag [læɡ]
půjčovatel,lender [ˈlen.dər]
lokalita,locality [ləˈkæl.ə.ti]
lákat,lure [lʊər]
škodlivé,malicious [məˈlɪʃ.əs]
matrace,mattress [ˈmæt.rəs]
mlha,mist [mɪst]
krtek,mole [məʊl]
molekula,molecule [ˈmɒl.ɪ.kjuːl]
monarchie,monarchy [ˈmɒn.ə.ki]
svalnatý,muscular [ˈmʌs.kjə.lər]
neutralita,neutrality [njuːˈtræl.ə.ti]
hlučný,noisy [ˈnɔɪ.zi]
orgasmus,orgasm [ˈɔː.ɡæz.əm]
balíček,parcel [ˈpɑː.səl]
rozdělit,partition [pɑːˈtɪʃ.ən]
zvláštní,peculiar [pɪˈkjuː.li.ər]
proprietární,proprietary [prəˈpraɪə.tər.i]
prostata,prostate [ˈprɒs.teɪt]
protagonista,protagonist [prəˈtæɡ.ən.ɪst]
Rant,rant [rænt]
vyrážka,rash [ræʃ]
zralý,ripe [raɪp]
Riverside,riverside [ˈrɪv.ə.saɪd]
vak,sac [sæk]
rozumný,sane [seɪn]
zachránce,savior [ˈseɪ.vjɚ]
scénický,scenic [ˈsiː.nɪk]
SIP,sip [sɪp]
šnek,snail [sneɪl]
statisticky,statistically [stəˈtɪs.tɪ.kəl.i]
stimulovat,stimulate [ˈstɪm.jə.leɪt]
podivně,strangely [ˈstreɪndʒ.li]
citlivý,susceptible [səˈsep.tə.bəl]
tutor,tutor [ˈtʃuː.tər]
nebezpečný,unsafe [ʌnˈseɪf]
Verge,verge [vɜːdʒ]
vibrující,vibrant [ˈvaɪ.brənt]
droždí,yeast [jiːst]
vstřebávání,absorption [əbˈzɔːp.ʃən]
akné,acne [ˈæk.ni]
