hřeben,comb [kəʊm]
rovnodennost,equinox [ˈek.wɪ.nɒks]
erotika,erotica [ɪˈrɒt.ɪ.kə]
eskalátor,escalator [ˈes.kə.leɪ.tər]
velebení,eulogy [ˈjuː.lə.dʒi]
rušný,eventful [ɪˈvent.fəl]
fanatický,fanatical [fəˈnæt.ɪ.kəl]
fantasticky,fantastically [fænˈtæs.tɪ.kəl.i]
připevnit,fasten [ˈfɑː.sən]
kolouch,fawn [fɔːn]
lemování,flanking [flæŋk]
plynulost,fluency [ˈfluː.ən.si]
fruktóza,fructose [ˈfrʊk.təʊs]
podnítit,galvanize [ˈɡæl.və.naɪz]
geofyzikální,geophysical [ˌdʒiː.əˈfɪz.ɪ.kəl]
vesele,hilariously [hɪˈleə.ri.əs.li]
navrhnout hypotézu,hypothesize [haɪˈpɒθ.ə.saɪz]
ilustrativní,illustrative [ˈɪl.ə.strə.tɪv]
nevhodně,inappropriately [ˌɪn.əˈprəʊ.pri.ət.li]
Žácivý,incandescent [ˌɪn.kænˈdes.ənt]
nejasný,indistinct [ˌɪn.dɪˈstɪŋkt]
neomylný,infallible [ɪnˈfæl.ə.bəl]
rozzuřit,infuriate [ɪnˈfjʊə.ri.eɪt]
JOLT,jolt [dʒəʊlt]
žonglovat,juggle [ˈdʒʌɡ.əl]
jukebox,jukebox [ˈdʒuːk.bɒks]
petrolej,kerosene [ˈker.ə.siːn]
purpurová,magenta [məˈdʒen.tə]
metodický,methodical [məˈθɒd.ɪ.kəl]
Mince,mince [mɪns]
monogram,monogram [ˈmɒn.ə.ɡræm]
Moray,moray [ˈmʌr.i]
šlechtic,nobleman [ˈnəʊ.bəl.mən]
optimista,optimist [ˈɒp.tɪ.mɪst]
navenek,outwardly [ˈaʊt.wəd.li]
Overlord,overlord [ˈəʊ.və.lɔːd]
nadměrné použití,overuse [ˌəʊ.vəˈjuːz]
papežství,papacy [ˈpeɪ.pə.si]
pudl,poodle [ˈpuː.dəl]
hnis,pus [pʌs]
zrušit,rescind [rɪˈsɪnd]
zátaras,roadblock [ˈrəʊd.blɒk]
Sandbox,sandbox [ˈsænd.bɒks]
Shag,shag [ʃæɡ]
řazení,shifter [ˈʃeɪpˌʃɪf.tər]
švec,shoemaker [ˈʃuːˌmeɪ.kər]
Shortfall,shortfall [ˈʃɔːt.fɔːl]
prosít,sift [sɪft]
silo,silo [ˈsaɪ.ləʊ]
plácnutí,smacking [smæk]
udusit,smother [ˈsmʌð.ər]
socializace,socialization [ˌsəʊ.ʃəl.aɪˈzeɪ.ʃən]
saze,soot [sʊt]
střídmě,sparingly [ˈspeə.rɪŋ.li]
smítko,speck [spek]
velkolepě,spectacularly [spekˈtæk.jə.lə.li]
Stylus,stylus [ˈstaɪ.ləs]
postupně,successively [səkˈses.ɪv.li]
luxusní,sumptuous [ˈsʌmp.tʃu.əs]
steh,suture [ˈsuː.tʃər]
tenký,tenuous [ˈten.ju.əs]
klid,tranquility [træŋˈkwɪl.ə.t̬i]
pupeční,umbilical [ʌmˈbɪl.ɪ.kəl]
Unhinge,unhinge [ʌnˈhɪndʒ]
nezaujatý,uninterested [ʌnˈɪn.tres.tɪd]
děložní,uterine [ˈjuː.tər.aɪn]
Vas,vas [ˌviː.eɪˈes]
zatáčet,veer [vɪər]
načež,whereupon [ˌweə.rəˈpɒn]
Wither,wither [ˈwɪð.ər]
viklat,wobble [ˈwɒb.əl]
zkrátit,abridge [əˈbrɪdʒ]
agresor,aggressor [əˈɡres.ər]
ambivalentní,ambivalent [æmˈbɪv.ə.lənt]
ametyst,amethyst [ˈæm.ə.θɪst]
šílený,berserk [bəˈzɜːk]
hovězí,bovine [ˈbəʊ.vaɪn]
světlo svíček,candlelight [ˈkæn.dəl.laɪt]
kanibalismus,cannibalism [ˈkæn.ɪ.bəl.ɪ.zəm]
radostný,cheery [ˈtʃɪə.ri]
paragon,chit [tʃɪt]
COG,cog [kɒɡ]
spojovací,connective [kəˈnek.tɪv]
kamarád,crony [ˈkrəʊ.ni]
křupavý,crusty [ˈkrʌs.ti]
kmín,cumin [ˈkjuː.mɪn]
příbory,cutlery [ˈkʌt.lər.i]
nálepka,decal [ˈdiː.kæl]
opadavý,deciduous [dɪˈsɪdʒ.u.əs]
degenerativní,degenerative [dɪˈdʒen.ər.ə.tɪv]
detekce,detract [dɪˈtrækt]
pitva,dissection [daɪˈsek.ʃən]
odlišný,dissimilar [ˌdɪsˈsɪm.ɪ.lər]
odradit,dissuade [dɪˈsweɪd]
destilace,distillation [ˌdɪs.tɪˈleɪ.ʃən]
fádní,drab [dræb]
lilek,eggplant [ˈeɡ.plɑːnt]
nepřátelství,enmity [ˈen.mə.ti]
Eukalyptus,eucalyptus [ˌjuː.kəlˈɪp.təs]
vystavovatel,exhibitor [ɪɡˈzɪb.ɪ.tər]
horentní,exorbitant [ɪɡˈzɔː.bɪ.tənt]
experimentálně,experimentally [ɪkˌsper.ɪˈmen.təl.i]
fretka,ferret [ˈfer.ɪt]
finančník,financier [fɪˈnæn.si.ər]
montér,fitter [ˈfɪt.ər]
flagrantní,flagrant [ˈfleɪ.ɡrənt]
květinář,florist [ˈflɒr.ɪst]
oděv,garb [ɡɑːb]
glaukom,glaucoma [ɡlaʊˈkəʊ.mə]
zasklení,glazing [ˈɡleɪ.zɪŋ]
zrnitý,granular [ˈɡræn.jə.lər]
nazelenalý,greenish [ˈɡriː.nɪʃ]
obchod s potravinami,grocer [ˈɡrəʊ.sər]
tápání,groping [ɡrəʊp]
bezhlavý,headless [ˈhed.ləs]
hibernace,hibernation [ˌhaɪ.bəˈneɪ.ʃən]
překážka,hindrance [ˈhɪn.drəns]
imunizace,immunization [ˌim.jə.naɪˈzeɪ.ʃən]
implantace,implantation [ɪm.plɑːnˈteɪ.ʃən]
nepřesnost,inaccuracy [ɪnˈæk.jə.rə.si]
neživý,inanimate [ɪˈnæn.ɪ.mət]
nevysvětlitelně,inexplicably [ˌɪn.ɪkˈsplɪk.ə.bli]
přestávka,intermission [ˌɪn.təˈmɪʃ.ən]
nenahraditelný,irreplaceable [ˌɪr.ɪˈpleɪ.sə.bəl]
legislativa,legislate [ˈledʒ.ɪ.sleɪt]
matróna,matron [ˈmeɪ.trən]
masitý,meaty [ˈmiː.ti]
sousto,mouthful [ˈmaʊθ.fʊl]
skopové maso,mutton [ˈmʌt.ən]
Nestle,nestle [ˈnes.əl]
odtok,outflow [ˈaʊt.fləʊ]
překonat,outperform [ˌaʊt.pəˈfɔːm]
předehra,overture [ˈəʊ.və.tjʊər]
pasivně,passively [ˈpæs.ɪv.li]
prodávání,peddling [ˈped.əl]
pepperoni,pepperoni [ˌpep.əˈrəʊni]
perforovat,perforate [ˈpɜː.fər.eɪt]
vidle,pitchfork [ˈpɪtʃ.fɔːk]
klidný,placid [ˈplæs.ɪd]
neštovice,pox [ˈpɒks]
předstírání,pretense [prɪˈtens]
Progesteron,progesterone [prəʊˈdʒes.tər.əʊn]
kvart,quart [kwɔːt]
quinoa,quinoa [ˈkiːnwɑː]
chátra,rabble [ˈræb.əl]
krokev,rafter [ˈrɑːf.tər]
znovu se objevit,reappear [ˌriː.əˈpɪər]
Přehodnocení,rearrange [ˌriː.əˈreɪndʒ]
Vykupitel,redeemer [rɪˈdiː.mər]
občerstvení,refreshment [rɪˈfreʃ.mənt]
Reissue,reissue [ˌriːˈɪʃ.uː]
předělat,remade [ˌriːˈmeɪd]
odrazit,repulse [rɪˈpʌls]
odpor,resistor [rɪˈzɪs.tər]
rapsódie,rhapsody [ˈræp.sə.di]
Ruddy,ruddy [ˈrʌd.i]
runa,rune [ruːn]
pánev,saucepan [ˈsɔː.spən]
rozkol,schism [ˈskɪz.əm]
věšák,seer [sɪər]
ostrost,sharpness [ˈʃɑːp.nəs]
Shelve,shelve [ʃelv]
Smite,smite [smaɪt]
elegantní,snappy [ˈsnæp.i]
šňupat,snort [snɔːt]
sportovní chování,sportsmanship [ˈspɔːts.mən.ʃɪp]
Stanza,stanza [ˈstæn.zə]
stipendium,stipend [ˈstaɪ.pend]
ubývat,subside [səbˈsaɪd]
smetanace,superannuation [ˌsuː.pərˌæn.juˈeɪ.ʃən]
osladit,sweeten [ˈswiː.tən]
sladce,sweetly [ˈswiːt.li]
tampon,tampon [ˈtæm.pɒn]
posměch,taunt [tɔːnt]
typografie,typography [taɪˈpɒɡ.rə.fi]
ukulele,ukulele [ˌjuː.kəˈleɪ.li]
neodpustitelný,unforgivable [ˌʌn.fəˈɡɪv.ə.bəl]
neobydlený,uninhabited [ˌʌn.ɪnˈhæb.ɪ.tɪd]
neudržitelný,untenable [ʌnˈten.ə.bəl]
opravdový,veritable [ˈver.ɪ.tə.bəl]
bradavice,wart [wɔːt]
Watchman,watchman [ˈwɒtʃ.mən]
jogurt,yoghurt [ˈjɒɡ.ət]
nadšený,abject [ˈæb.dʒekt]
Actionvable,actionable [ˈæk.ʃən.ə.bəl]
afektivní,affective [əˈfek.tɪv]
Avield,afield [əˈfiːld]
vystoupit,alight [əˈlaɪt]
ohromení,amazement [əˈmeɪz.mənt]
jmenovaný,appointee [əˌpɔɪnˈtiː]
podpaží,armpit [ˈɑːm.pɪt]
strohý,austere [ɔːˈstɪər]
trapnost,awkwardness [ˈɔː.kwəd.nəs]
soudní vykonavatel,bailiff [ˈbeɪ.lɪf]
blažený,blissful [ˈblɪs.fəl]
Blister,blister [ˈblɪs.tər]
ucpání,blockage [ˈblɒk.ɪdʒ]
prevít,bugger [ˈbʌɡ.ər]
bóje,buoy [bɔɪ]
Bojovník,campaigner [ˌkæmˈpeɪ.nər]
řezba,carving [ˈkɑː.vɪŋ]
Chalice,chalice [ˈtʃæl.ɪs]
vyznamenání,commendation [ˌkɒm.enˈdeɪ.ʃən]
zásilka,consignment [kənˈsaɪn.mənt]
car,czar [zɑːr]
vévodství,duchy [ˈdʌtʃ.i]
vyčlenit,earmark [ˈɪə.mɑːk]
ekumenický,ecumenical [ˌek.juˈmen.ɪk.əl]
epizodický,episodic [ˌep.ɪˈsɒd.ɪk]
uplynutí,expiry [ɪkˈspaɪə.ri]
končetina,extremity [ɪkˈstrem.ə.ti]
věrnost,faithfulness [ˈfeɪθ.fəl.nəs]
stehenní kost,femur [ˈfiː.mər]
kolísat,fluctuate [ˈflʌk.tʃu.eɪt]
slepice,fowl [faʊl]
Foxy,foxy [ˈfɒk.si]
piha,freckle [ˈfrek.əl]
želatina,gelatin [ˈdʒel.ə.tiːn]
těhotenství,gestation [dʒesˈteɪ.ʃən]
gilotina,guillotine [ˈɡɪl.ə.tiːn]
racek,gull [ɡʌl]
gusto,gusto [ˈɡʌs.təʊ]
čelenka,headband [ˈhed.bænd]
kýla,hernia [ˈhɜː.ni.ə]
ideologicky,ideologically [ˌaɪ.di.əˈlɒdʒ.ɪ.kəl.i]
nerozlišující,indiscriminate [ˌɪn.dɪˈskrɪm.ɪ.nət]
individualismus,individualism [ˌɪn.dɪˈvɪdʒ.u.ə.lɪ.zəm]
pekelný,infernal [ɪnˈfɜː.nəl]
zřídka,infrequently [ɪnˈfriː.kwənt.li]
vštípit,instill [ɪnˈstɪl]
Zrušení,invalidate [ɪnˈvæl.ɪ.deɪt]
jazzy,jazzy [ˈdʒæz.i]
Kingpin,kingpin [ˈkɪŋ.pɪn]
stánek,kiosk [ˈkiː.ɒsk]
čočka,lentil [ˈlen.təl]
malomocenství,leprosy [ˈlep.rə.si]
lisp,lisp [lɪsp]
kobylka,locust [ˈləʊ.kəst]
Mallet,mallet [ˈmæl.ɪt]
pelichání,mew [mjuː]
vojensky,militarily [ˌmɪl.ɪˈter.əl.i]
nehoda,mishap [ˈmɪs.hæp]
monolitické,monolithic [ˌmɒn.əˈlɪθ.ɪk]
Motoring,motoring [ˈməʊ.tər.ɪŋ]
narkotický,narcotic [nɑːˈkɒt.ɪk]
odchozí,outbound [ˈaʊt.baʊnd]
přemoci,overpower [ˌəʊ.vəˈpaʊər]
přepracování,overwork [ˌəʊ.vəˈwɜːk]
pantomima,pantomime [ˈpæn.tə.maɪm]
mírová míru,peacetime [ˈpiːs.taɪm]
Pita,pita [ˈpɪt.ə]
prázdno,playtime [ˈpleɪ.taɪm]
predikát,predicate [ˈpred.ɪ.kət]
předvídatelně,predictably [prɪˈdɪk.tə.bli]
potomstvo,progeny [ˈprɒdʒ.ə.ni]
potlačit,quell [kwel]
závodní dráha,racecourse [ˈreɪs.kɔːs]
reflektor,reflector [rɪˈflek.tər]
plukovní,regimental [ˌredʒ.ɪˈmen.təl]
rehabilitovat,rehabilitate [ˌriː.həˈbɪl.ɪ.teɪt]
reorganizovat,reorganize [riːˈɔː.ɡən.aɪz]
přísně,rigorously [ˈrɪɡ.ər.əs.li]
hřad,roost [ruːst]
síto,sieve [sɪv]
práh,sill [sɪl]
stříbřitý,silvery [ˈsɪl.vər.i]
hihňání,snicker [ˈsnɪk.ər]
sólista,soloist [ˈsəʊ.ləʊ.ɪst]
bolestivost,soreness [ˈsɔː.nəs]
Jižan,southerner [ˈsʌð.ə.nər]
sfinga,sphinx [sfɪŋks]
hvězdice,starfish [ˈstɑː.fɪʃ]
potlačit,stifle [ˈstaɪ.fəl]
sukulentní,succulent [ˈsʌk.jə.lənt]
skvěle,superbly [suːˈpɜːb.li]
nadbytečný,superfluous [suːˈpɜː.flu.əs]
Swain,swain [sweɪn]
vkusný,tasteful [ˈteɪst.fəl]
transcendentální,transcendental [ˌtræn.senˈden.təl]
travestie,travesty [ˈtræv.ə.sti]
triky,tricking [trɪk]
nepohodlně,uncomfortably [ʌnˈkʌmf.tə.bli]
pomstychtivý,vengeful [ˈvendʒ.fəl]
co,whatnot [ˈwɒt.nɒt]
bělost,whiteness [ˈwaɪt.nəs]
proutěný,wicker [ˈwɪk.ər]
škubnutí,yank [jæŋk]
zašpinit,aback [əˈbæk]
rezervovaný,aloof [əˈluːf]
amulet,amulet [ˈæm.jə.lət]
anotace,annotation [ˌæn.əˈteɪ.ʃən]
omluvný,apologetic [əˌpɒl.əˈdʒet.ɪk]
Arcane,arcane [ɑːˈkeɪn]
aristokrat,aristocrat [ˈær.ɪ.stə.kræt]
holičství,barbershop [ˈbɑː.bə.ʃɒp]
Beanie,beanie [ˈbiː.ni]
zatemnit,blacken [ˈblæk.ən]
Bronco,bronco [ˈbrɒŋ.kəʊ]
kamarádství,camaraderie [ˌkæm.əˈrɑː.dər.i]
sud,cask [kɑːsk]
mola,catwalk [ˈkæt.wɔːk]
klasicky,classically [ˈklæs.ɪ.kəl.i]
konfiskace,confiscation [ˌkɒn.fɪˈskeɪ.ʃən]
odvod,conscription [kənˈskrɪp.ʃən]
lebeční,cranial [ˈkreɪ.ni.əl]
kriminalita,criminality [ˌkrɪm.ɪˈnæl.ə.ti]
dekapitace,decapitate [dɪˈkæp.ɪ.teɪt]
zastrašování,deterrence [dɪˈter.əns]
odporný,distasteful [dɪsˈteɪst.fəl]
Dud,dud [dʌd]
Peřina,duvet [ˈduː.veɪ]
efemérní,ephemeral [ɪˈfem.ər.əl]
titulní,eponymous [ɪˈpɒn.ɪ.məs]
etnografický,ethnographic [ˌeθ.nəˈɡræf.ɪk]
mimoškolní,extracurricular [ˌek.strə.kəˈrɪk.jə.lər]
nepřítomný,faraway [ˌfɑː.rəˈweɪ]
letec,flier [ˈflaɪ.ər]
pěšina,footpath [ˈfʊt.pɑːθ]
předchůdce,forerunner [ˈfɔːˌrʌn.ər]
vzdát se,forgo [fɔːˈɡəʊ]
průčelí,frontage [ˈfrʌn.tɪdʒ]
zmařit,frustrate [frʌsˈtreɪt]
Fryer,fryer [ˈfraɪ.ər]
bota,goof [ɡuːf]
houkání,hoot [huːt]
humanismus,humanism [ˈhjuː.mə.nɪ.zəm]
vtělení,incarnate [ɪnˈkɑː.nət]
nesrovnatelný,incomparable [ɪnˈkɒm.pər.ə.bəl]
Informer,informer [ɪnˈfɔː.mər]
Obavní,infrequent [ɪnˈfriː.kwənt]
požití,ingestion [ɪnˈʤes.tʃən]
internace,internment [ɪnˈtɜːn.mənt]
Juggernaut,juggernaut [ˈdʒʌɡ.ə.nɔːt]
nevýrazný,lackluster [ˈlækˌlʌs.tɚ]
larva,larva [ˈlɑː.və]
lint,lint [lɪnt]
živý,livid [ˈlɪv.ɪd]
nížina,lowland [ˈləʊ.lənd]
lahodný,luscious [ˈlʌʃ.əs]
Luxe,luxe [lʌks]
zvětšit,magnify [ˈmæɡ.nɪ.faɪ]
žlab,manger [ˈmeɪn.dʒər]
manikúra,manicure [ˈmæn.ɪ.kjʊər]
zhmotnit,materialize [məˈtɪə.ri.ə.laɪz]
zrání,maturation [ˌmætʃ.əˈreɪ.ʃən]
slída,mica [ˈmaɪ.kə]
nepatrná,minuscule [ˈmɪn.ə.skjuːl]
nesprávně napsat,misspell [ˌmɪsˈspel]
molární,molar [ˈməʊ.lər]
obtěžování,molestation [ˌmɒl.esˈteɪ.ʃən]
kaše,mush [mʌʃ]
Navigační,navigational [ˌnæv.ɪˈɡeɪ.ʃən.əl]
normalizace,normalization [ˈnɔː.məl]
onyx,onyx [ˈɒn.ɪks]
osteoporóza,osteoporosis [ˌɒs.ti.əʊ.pəˈrəʊ.sɪs]
vnímavý,perceptive [pəˈsep.tɪv]
Peri,peri [ˈper.iˌper.i]
Sběratel,picker [ˈpɪk.ər]
bezpečnostní,precautionary [prɪˈkɔː.ʃən.ər.i]
sraženina,precipitate [prɪˈsɪp.ɪ.teɪt]
Rani,rani [ˈrɑː.niː]
Rayon,rayon [ˈreɪ.ɒn]
bezohledně,recklessly [ˈrek.ləs.li]
regionálně,regionally [ˈriː.dʒən.əl.i]
obnovení,reinstatement [ˌriː.ɪnˈsteɪt.mənt]
tuhost,rigidity [rɪˈdʒɪd.ə.ti]
nýt,rivet [ˈrɪv.ɪt]
Rosewood,rosewood [ˈrəʊz.wʊd]
Sable,sable [ˈseɪ.bəl]
čistit,scour [skaʊər]
sedativní,sedative [ˈsed.ə.tɪv]
senilní,senile [ˈsiː.naɪl]
Setter,setter [ˈset.ər]
sáně,sleigh [sleɪ]
pramen,sliver [ˈslɪv.ər]
rozbředlý sníh,slush [slʌʃ]
měkkost,softness [ˈsɒft.nəs]
Sordid,sordid [ˈsɔː.dɪd]
Springboard,springboard [ˈsprɪŋ.bɔːd]
Stazi,stasis [ˈsteɪ.sɪs]
Stonewall,stonewall [ˈstəʊn.wɔːl]
dusný,sultry [ˈsʌl.tri]
výživa,sustenance [ˈsʌs.tən.əns]
otočný,swivel [ˈswɪv.əl]
slzy,tearful [ˈtɪə.fəl]
mlácení,thrashing [ˈθræʃ.ɪŋ]
Toolbox,toolbox [ˈtuːl.bɒks]
Hlakování,toying [tɔɪ]
nerušený,undisturbed [ˌʌn.dɪˈstɜːbd]
Unhelpful,unhelpful [ʌnˈhelp.fəl]
neinformovaný,uninformed [ˌʌn.ɪnˈfɔːmd]
nevhodné,unkind [ʌnˈkaɪnd]
nereagující,unresponsive [ˌʌn.rɪˈspɒn.sɪv]
nezraněný,unscathed [ʌnˈskeɪðd]
nepodporovaný,unsupported [ˌʌn.səˈpɔː.tɪd]
obhájit,vindicate [ˈvɪn.dɪ.keɪt]
Whirlpool,whirlpool [ˈwɜːl.puːl]
vous,whisker [ˈwɪs.kər]
bělavý,whitish [ˈwaɪ.tɪʃ]
velkoobchodník,wholesaler [ˈhəʊlˌseɪ.lər]
horlivý,zealous [ˈzel.əs]
Aberace,aberration [ˌæb.əˈreɪ.ʃən]
meruňka,apricot [ˈeɪ.prɪ.kɒt]
rozhodce,arbiter [ˈɑː.bɪ.tər]
rozhodce,arbitrator [ˈɑː.bɪ.treɪ.tər]
archanděl,archangel [ˈɑː.keɪn.dʒəl]
atleticismus,athleticism [æθˈlet.ɪ.sɪ.zəm]
Krevní linie,bloodline [ˈblʌd.laɪn]
vznášející se,buoyant [ˈbɔɪ.ənt]
huňatý,bushy [ˈbʊʃ.i]
shon,bustle [ˈbʌs.əl]
kalorický,caloric [kəˈlɒr.ɪk]
kapitán,captaincy [ˈkæp.tɪn.si]
karbid,carbide [ˈkɑː.baɪd]
karmín,carmine [ˈkɑː.maɪn]
předsednictví,chairmanship [ˈtʃeə.mən.ʃɪp]
mat,checkmate [ˈtʃek.meɪt]
vesele,cheerfully [ˈtʃɪə.fəl.i]
lékař,clinician [klɪˈnɪʃ.ən]
donucovací,coercive [kəʊˈɜː.sɪv]
kolie,collie [ˈkɒl.i]
komercializace,commercialization [kəˌmɜː.ʃəl.aɪˈzeɪ.ʃən]
přesvědčivě,conclusively [kənˈkluː.sɪv.li]
vedení,conduction [kənˈdʌk.ʃən]
svěřit,confide [kənˈfaɪd]
snít,daydream [ˈdeɪ.driːm]
ohlušit,deafen [ˈdef.ən]
přístavní dělník,docker [ˈdɒk.ər]
Docket,docket [ˈdɒk.ɪt]
sluchátko,earphone [ˈiə.fəʊn]
elektrifikovat,electrify [ɪˈlek.trɪ.faɪ]
okouzlení,enchantment [ɪnˈtʃɑːnt.mənt]
zážitkové,experiential [ɪkˌspɪə.riˈen.ʃəl]
bez tváře,faceless [ˈfeɪs.ləs]
fascia,fascia [ˈfeɪ.ʃə]
otčina,fatherland [ˈfɑː.ðə.lænd]
federalismus,federalism [ˈfed.ər.əl.ɪ.zəm]
fey,fey [feɪ]
obrazně,figuratively [ˈfɪɡ.ər.ə.tɪv.li]
křehkost,fragility [frəˈdʒɪl.ə.ti]
frigidní,frigid [ˈfrɪdʒ.ɪd]
těsnění,gasket [ˈɡæs.kɪt]
krvavý,gory [ˈɡɔː.ri]
graficky,graphically [ˈɡræf.ɪ.kəl.i]
příval,gush [ɡʌʃ]
bydlení,habitation [ˌhæb.ɪˈteɪ.ʃən]
dědictví,heirloom [ˈeə.luːm]
lovec,huntsman [ˈhʌnts.mən]
Hustler,hustler [ˈhʌs.lər]
podchlazení,hypothermia [ˌhaɪ.pəˈθɜː.mi.ə]
netrpělivost,impatience [ɪmˈpeɪ.ʃəns]
bez rozdílu,indiscriminately [ˌɪn.dɪˈskrɪm.ɪ.nət.li]
zvědavý,inquisitive [ɪnˈkwɪz.ə.tɪv]
instruktivní,instructive [ɪnˈstrʌk.tɪv]
blokování,interlock [ˌɪn.təˈlɒk]
introspekce,introspection [ˌɪn.trəˈspek.ʃən]
sádlo,lard [lɑːd]
Leeway,leeway [ˈliː.weɪ]
lexikální,lexical [ˈlek.sɪ.kəl]
lob,lob [lɒb]
národní prostředí,locale [ləˈkɑːl]
zasloužilý,meritorious [ˌmer.ɪˈtɔː.ri.əs]
proso,millet [ˈmɪl.ɪt]
zkreslení,misrepresentation [ˌmɪs.rep.rɪ.zenˈteɪ.ʃən]
špatné zacházení,mistreatment [ˌmɪsˈtriːt.mənt]
negovat,negate [nɪˈɡeɪt]
nesmyslný,nonsensical [ˌnɒnˈsen.sɪ.kəl]
smyčka,noose [nuːs]
odnož,offshoot [ˈɒf.ʃuːt]
mast,ointment [ˈɔɪnt.mənt]
na pevnině,onshore [ˌɒnˈʃɔːr]
ovulace,ovulation [ˌɒv.jəˈleɪ.ʃən]
analyzovat,parse [pɑːz]
frázování,phrasing [ˈfreɪ.zɪŋ]
opylení,pollination [ˌpɒl.əˈneɪ.ʃən]
preclík,pretzel [ˈpret.səl]
hojně,profusely [prəˈfjuːs.li]
proletariát,proletariat [ˌprəʊ.lɪˈteə.ri.ət]
vyhlásit,promulgate [ˈprɒm.əl.ɡeɪt]
kompenzovat,recoup [rɪˈkuːp]
odstraňovač,remover [rɪˈmuː.vər]
repertoár,repertory [ˈrep.ə.tər.i]
vzrušení,rousing [ˈraʊ.zɪŋ]
potulovat se,rove [rəʊv]
vychutnat,savor [ˈseɪ.vɚ]
učitel,schoolteacher [ˈskuːlˌtiː.tʃər]
senátorský,senatorial [ˌsen.əˈtɔː.ri.əl]
lesk,shimmer [ˈʃɪm.ər]
krádež,shoplifting [ˈʃɒp.lɪf.tɪŋ]
zjednodušení,simplification [ˌsɪm.plɪ.fɪˈkeɪ.ʃən]
podřimovat,snooze [snuːz]
křeč,spasm [ˈspæz.əm]
klid,stillness [ˈstɪl.nəs]
hloupě,stupidly [ˈstjuː.pɪd.li]
nápadník,suitor [ˈsuː.tər]
diadém,tiara [tiˈɑː.rə]
celek,totality [təʊˈtæl.ə.ti]
ošklivost,ugliness [ˈʌɡ.li.nəs]
nekontrolovatelně,uncontrollably [ˌʌn.kənˈtrəʊ.lə.bli]
nepřiměřeně,unduly [ʌnˈdʒuː.li]
mstivý,vindictive [vɪnˈdɪk.tɪv]
hledí,visor [ˈvaɪ.zər]
mrož,walrus [ˈwɔːl.rəs]
vážení,weighting [ˈweɪ.tɪŋ]
neoprávněně,wrongfully [ˈrɒŋ.fəl.i]
odporný,abhorrent [əˈbɒr.ənt]
olše,alder [ˈɔːl.dər]
přípustné,allowable [əˈlaʊ.ə.bəl]
přátelské,amicable [ˈæm.ɪ.kə.bəl]
rybář,angler [ˈæŋ.ɡlər]
zničit,annihilate [əˈnaɪ.ə.leɪt]
atrofie,atrophy [ˈæt.rə.fi]
letec,aviator [ˈeɪ.vi.eɪ.tər]
vyhnout se,avoidable [əˈvɔɪ.də.bəl]
Behemoth,behemoth [bɪˈhiː.mɒθ]
bryndáček,bib [bɪb]
Blip,blip [blɪp]
pánovitý,bossy [ˈbɒs.i]
Bumble,bumble [ˈbʌm.bəl]
tělesný,carnal [ˈkɑː.nəl]
tesařství,carpentry [ˈkɑː.pɪn.tri]
šedý zákal,cataract [ˈkæt.ə.rækt]
žíravý,caustic [ˈkɔː.stɪk]
šimpanz,chimpanzee [ˌtʃɪm.pænˈziː]
kamarád,chum [tʃʌm]
shovívavost,clemency [ˈklem.ən.si]
kodifikovat,codify [ˈkəʊ.dɪ.faɪ]
policie,constabulary [kənˈstæb.jə.lə.ri]
temně,darkly [ˈdɑːk.li]
deaktivace,deactivate [ˌdiˈæk.tɪ.veɪt]
Make,deadlock [ˈded.lɒk]
lstivý,deceitful [dɪˈsiːt.fəl]
odvodit,deduce [dɪˈdʒuːs]
dementní,demented [dɪˈmen.tɪd]
rozeznatelné,discernible [dɪˈsɜː.nə.bəl]
nespokojen,displeased [dɪˈspliːzd]
nadšený,elated [iˈleɪ.tɪd]
elegantně,elegantly [ˈel.ə.ɡənt.li]
Ember,ember [ˈem.bər]
zaplést,embroil [ɪmˈbrɔɪl]
tábor,encampment [ɪnˈkæmp.mənt]
ekvalizér,equalizer [ˈiː.kwə.laɪ.zər]
vykonavatel,executor [ɪɡˈzek.jə.tər]
vynaložit,expend [ɪkˈspend]
bujný,exuberant [ɪɡˈzjuː.bər.ənt]
faksimile,facsimile [fækˈsɪm.əl.i]
smyšlený,fanciful [ˈfæn.sɪ.fəl]
filé,fillet [ˈfɪl.ɪt]
formaldehyd,formaldehyde [fɔːˈmæl.də.haɪd]
podvazek,garter [ˈɡɑː.tər]
hatmatilka,gibberish [ˈdʒɪb.ər.ɪʃ]
grandiózní,grandiose [ˈɡræn.di.əʊs]
gumovitý,gummy [ˈɡʌm.i]
čarodějnice,hag [hæɡ]
harmonika,harmonica [hɑːˈmɒn.ɪ.kə]
světlomet,headlight [ˈhed.laɪt]
spolubydlící,housemate [ˈhaʊs.meɪt]
idiom,idiom [ˈɪd.i.əm]
předstírat,impersonate [ɪmˈpɜː.sən.eɪt]
nezkušenost,inexperience [ˌɪn.ɪkˈspɪə.ri.əns]
podřadnost,inferiority [ɪnˌfɪə.riˈɒr.ə.ti]
pozorně,intently [ɪnˈtent.li]
jota,iota [aɪˈəʊ.tə]
lehkost,lightness [ˈlaɪt.nəs]
mazání,lubrication [ˌluː.brɪˈkeɪ.ʃən]
umrtvit,mortify [ˈmɔː.tɪ.faɪ]
bez hnutí,motionless [ˈməʊ.ʃən.ləs]
