hřeben,comb [koʊm]
obavy,apprehensive [ˌæp.rəˈhen.sɪv]
souhlas,assent [əˈsent]
krutost,atrocity [əˈtrɑː.sə.t̬i]
Backdoor,backdoor [ˈbæk.dɔːr]
Boggle,boggle [ˈbɑː.ɡəl]
buržoazie,bourgeoisie [ˌbʊrʒ.wɑːˈziː]
kolemjdoucí,bystander [ˈbaɪˌstæn.dɚ]
kategoricky,categorically [ˌkæt̬.əˈɡɔːr.ɪ.kəl.i]
katoda,cathode [ˈkæθ.oʊd]
Cede,cede [siːd]
zdvořilost,civility [sɪˈvɪl.ə.t̬i]
spoluúčast,complicity [kəmˈplɪs.ə.t̬i]
následné,consequential [ˌkɑːn.səˈkwən.tʃəl]
nákaza,contagion [kənˈteɪ.dʒən]
korzet,corset [ˈkɔːr.sət]
herka,crock [krɑːk]
svítání,daybreak [ˈdeɪ.breɪk]
Desolation,desolation [ˌdes.əlˈeɪ.ʃən]
deviantní,deviant [ˈdiː.vi.ənt]
křivolaký,devious [ˈdiː.vi.əs]
diskografie,discography [dɪˈskɑː.ɡrə.fi]
dislocate,dislocate [dɪˈsloʊ.keɪt]
výdej,dispenser [dɪˈspen.sɚ]
šířit,disseminate [dɪˈsem.ə.neɪt]
vážka,dragonfly [ˈdræɡ.ən.flaɪ]
zákop,dugout [ˈdʌɡ.aʊt]
dynamicky,dynamically [daɪˈnæm.ɪ.kəl.i]
evokativní,evocative [ɪˈvɑː.kə.t̬ɪv]
slabě,faintly [ˈfeɪnt.li]
koketní,flirty [ˈflɝː.t̬i]
ojíněný,frosted [ˈfrɑː.stɪd]
plnost,fullness [ˈfʊl.nəs]
cval,gallop [ˈɡæl.əp]
pohan,gentile [ˈdʒen.taɪl]
perník,gingerbread [ˈdʒɪn.dʒɚ.bred]
Giro,giro [ˈdʒaɪ.roʊ]
saranče,grasshopper [ˈɡræsˌhɑː.pɚ]
seskupení,grouping [ˈɡruː.pɪŋ]
posvátný,hallowed [ˈhæl.oʊd]
zastavení,halting [ˈhɑːl.t̬ɪŋ]
uhlovodík,hydrocarbon [ˌhaɪ.droʊˈkɑːr.bən]
nepřetržitý,incessant [ɪnˈses.ənt]
obvinit,incriminate [ɪnˈkrɪm.ə.neɪt]
nevyléčitelný,incurable [ɪnˈkjʊr.ə.bəl]
nespočetný,innumerable [ɪˈnuː.mɚ.ə.bəl]
ostrovní,insular [ˈɪn.sə.lɚ]
nepřekonatelný,insurmountable [ˌɪn.sɚˈmaʊn.t̬ə.bəl]
zaplavit,inundate [ˈɪn.ʌn.deɪt]
ionizace,ionization [ˌaɪ.ə.nəˈzeɪ.ʃən]
otřes,jarring [ˈdʒɑːr.ɪŋ]
Držitel licence,licensee [ˌlaɪ.sənˈsiː]
magnetismus,magnetism [ˈmæɡ.nə.tɪ.zəm]
námořník,mariner [ˈmer.ə.nɚ]
metamorfóza,metamorphosis [ˌmet̬.əˈmɔːr.fə.sɪs]
metodologické,methodological [ˌmeθ.ə.dəlˈɑː.dʒɪ.kəl]
nesprávně interpretovat,misinterpret [ˌmɪs.ɪnˈtɝː.prət]
modernizovat,modernize [ˈmɑː.dɚ.naɪz]
vícejazyčné,multilingual [ˌmʌl.tiˈlɪŋ.ɡwəl]
výživa,nourishment [ˈnɝː.ɪʃ.mənt]
číslice,numeral [ˈnuː.mə.rəl]
čichový,olfactory [ɑːlˈfæk.ter.i]
organicky,organically [ɔːrˈɡæn.ɪ.kəl.i]
zkamenět,petrify [ˈpet.rə.faɪ]
bažant,pheasant [ˈfez.ənt]
fotosyntéza,photosynthesis [ˌfoʊ.t̬oʊˈsɪn.θə.sɪs]
pikola,piccolo [ˈpɪk.ə.loʊ]
odložení,postponement [poʊstˈpoʊn.mənt]
vyloučit,preclude [prəˈkluːd]
natlakovat,pressurize [ˈpreʃ.ɚ.aɪz]
pichlavý,prickly [ˈprɪk.əl.i]
kočička,puss [pʊs]
podstatný,quintessential [ˌkwɪn.tɪˈsen.ʃəl]
vyzařovat,radiate [ˈreɪ.di.eɪt]
pravidelnost,regularity [ˌreɡ.jəˈler.ə.t̬i]
sanace,remediation [rɪˌmiː.diˈeɪ.ʃən]
resound,resound [rɪˈzaʊnd]
mrchožrout,scavenger [ˈskæv.ɪn.dʒɚ]
škuner,schooner [ˈskuː.nɚ]
Scion,scion [ˈsaɪ.ən]
otroctví,servitude [ˈsɝː.və.tuːd]
neduživý,sickly [ˈsɪk.li]
snooker,snooker [ˈsnuː.kɚ]
slavnostně,solemnly [ˈsɑː.ləm.li]
vymknutí,sprain [spreɪn]
parník,steamboat [ˈstiːm.boʊt]
lakomý,stingy [ˈstɪn.dʒi]
ucpaný,stuffy [ˈstʌf.i]
podvracení,subversion [səbˈvɝː.ʒən]
dostatečnost,sufficiency [səˈfɪʃ.ən.si]
terminálně,terminally [ˈtɝː.mə.nəl.i]
ticker,ticker [ˈtɪk.ɚ]
Tiff,tiff [tɪf]
dřina,toil [tɔɪl]
houkání,toot [tuːt]
Zkrácení,truncate [trʌŋˈkeɪt]
věrný,trusty [ˈtrʌs.ti]
nezjištěné,undetected [ˌʌn.dɪˈtek.tɪd]
jednotnost,uniformity [ˌjuː.nəˈfɔːr.mə.t̬i]
neodůvodněné,unjustified [ʌnˈdʒʌs.tə.faɪd]
lak,varnish [ˈvɑːr.nɪʃ]
ráznost,vigor [ˈvɪɡ.ɚ]
šprýmař,wag [wæɡ]
vdovec,widower [ˈwɪd.oʊ.ɚ]
rozviklaný,wobbly [ˈwɑː.bəl.i]
přízrak,wraith [reɪθ]
tis,yew [juː]
Zoological,zoological [ˌzoʊ.əˈlɑː.dʒɪ.kəl]
amputace,amputation [ˌæm.pjəˈteɪ.ʃən]
anarchismus,anarchism [-ɚ-]
antagonistický,antagonistic [ænˌtæɡ.ənˈɪs.tɪk]
petarda,banger [ˈbæŋ.ɚ]
čedič,basalt [ˈbæs.ɑːlt]
porážka,beating [ˈbiː.t̬ɪŋ]
odkázat,bequeath [bɪˈkwiːð]
zlepšení,betterment [ˈbet̬.ɚ.mənt]
prvorozenství,birthright [ˈbɝːθ.raɪt]
tabule,blackboard [ˈblæk.bɔːrd]
dech,breather [ˈbriː.ðɚ]
Bylaw,bylaw [ˈbaɪ.lɑː]
Povodí,catchment [ˈkætʃ.mənt ˌer.i.ə]
čistě,cleanly [ˈkliːn.li]
bezbarvý,colorless [ˈkʌl.ɚ.ləs]
konkávní,concave [ˈkɑːn.keɪv]
následné,consequent [ˈkɑːn.sə.kwənt]
Diskující,discerning [dɪˈsɝː.nɪŋ]
rozpad,disintegration [ˌdɪs.ɪn.t̬əˈɡreɪ.ʃən]
disonance,dissonance [ˈdɪs.ən.əns]
tlačítko,duress [duːˈres]
Dyslexie,dyslexia [dɪˈslek.si.ə]
zemitý,earthy [ˈɝː.θi]
zpronevěra,embezzlement [ɪmˈbez.əl.mənt]
emigrant,emigrant [ˈem.ə.ɡrənt]
Vynutitelné,enforceable [ɪnˈfɔːr.sə.bəl]
rovnodennost,equinox [ˈek.wə.nɑːks]
erotika,erotica [ɪˈrɑː.t̬ɪ.kə]
eskalátor,escalator [ˈes.kə.leɪ.t̬ɚ]
velebení,eulogy [ˈjuː.lə.dʒi]
rušný,eventful [ɪˈvent.fəl]
fanatický,fanatical [fəˈnæt̬.ɪ.kəl]
fantasticky,fantastically [fænˈtæs.tɪ.kəl.i]
připevnit,fasten [ˈfæs.ən]
kolouch,fawn [fɑːn]
lemování,flanking [flæŋk]
plynulost,fluency [ˈfluː.ən.si]
fruktóza,fructose [ˈfrʊk.toʊs]
podnítit,galvanize [ˈɡæl.və.naɪz]
geofyzikální,geophysical [ˌdʒiː.əˈfɪz.ɪ.kəl]
vesele,hilariously [hɪˈler.i.əs.li]
navrhnout hypotézu,hypothesize [haɪˈpɑː.θə.saɪz]
ilustrativní,illustrative [ɪˈlʌs.trə.t̬ɪv]
nevhodně,inappropriately [ˌɪn.əˈproʊ.pri.ət.li]
Žácivý,incandescent [ˌɪn.kænˈdes.ənt]
nejasný,indistinct [ˌɪn.dɪˈstɪŋkt]
neomylný,infallible [ɪnˈfæl.ə.bəl]
rozzuřit,infuriate [ɪnˈfjʊr.i.eɪt]
JOLT,jolt [dʒoʊlt]
žonglovat,juggle [ˈdʒʌɡ.əl]
jukebox,jukebox [ˈdʒuːk.bɑːks]
petrolej,kerosene [ˈker.ə.siːn]
purpurová,magenta [məˈdʒen.tə]
metodický,methodical [məˈθɑː.dɪ.kəl]
Mince,mince [mɪns]
monogram,monogram [ˈmɑː.nə.ɡræm]
Moray,moray [ˈmɜ˞.i]
šlechtic,nobleman [ˈnoʊ.bəl.mən]
optimista,optimist [ˈɑːp.tə.mɪst]
navenek,outwardly [ˈaʊt.wɚd.li]
Overlord,overlord [ˈoʊ.vɚ.lɔːrd]
nadměrné použití,overuse [ˌoʊ.vɚˈjuːz]
papežství,papacy [ˈpeɪ.pə.si]
pudl,poodle [ˈpuː.dəl]
hnis,pus [pʌs]
zrušit,rescind [rɪˈsɪnd]
zátaras,roadblock [ˈroʊd.blɑːk]
Sandbox,sandbox [ˈsænd.bɑːks]
Shag,shag [Výskyt nenalezen]
řazení,shifter [ˈʃeɪpˌʃɪf.tɚ]
švec,shoemaker [ˈʃuːˌmeɪ.kɚ]
Shortfall,shortfall [ˈʃɔːrt.fɑːl]
prosít,sift [sɪft]
silo,silo [ˈsaɪ.loʊ]
plácnutí,smacking [smæk]
udusit,smother [ˈsmʌð.ɚ]
socializace,socialization [ˌsoʊ.ʃəl.əˈzeɪ.ʃən]
saze,soot [sʊt]
střídmě,sparingly [ˈsper.ɪŋ.li]
smítko,speck [spek]
velkolepě,spectacularly [spekˈtæk.jə.lɚ.li]
Stylus,stylus [ˈstaɪ.ləs]
postupně,successively [səkˈses.ɪv.li]
luxusní,sumptuous [ˈsʌmp.tʃu.əs]
steh,suture [ˈsuː.tʃɚ]
tenký,tenuous [ˈten.ju.əs]
klid,tranquility [træŋˈkwɪl.ə.t̬i]
pupeční,umbilical [ʌmˈbɪl.ɪ.kəl]
Unhinge,unhinge [ʌnˈhɪndʒ]
nezaujatý,uninterested [ʌnˈɪn.trɪ.stɪd]
děložní,uterine [ˈjuː.t̬ɚ.ɪn]
Vas,vas [ˌviː.eɪˈes]
zatáčet,veer [vɪr]
načež,whereupon [ˌwer.əˈpɑːn]
Wither,wither [ˈwɪð.ɚ]
viklat,wobble [ˈwɑː.bəl]
zkrátit,abridge [əˈbrɪdʒ]
agresor,aggressor [əˈɡres.ɚ]
ambivalentní,ambivalent [æmˈbɪv.ə.lənt]
ametyst,amethyst [ˈæm.ə.θɪst]
šílený,berserk [bɚˈzɝːk]
hovězí,bovine [ˈboʊ.vaɪn]
světlo svíček,candlelight [ˈkæn.dəl.laɪt]
kanibalismus,cannibalism [ˈkæn.ə.bəl.ɪ.zəm]
radostný,cheery [ˈtʃɪr.i]
paragon,chit [tʃɪt]
COG,cog [kɑːɡ]
spojovací,connective [kəˈnek.tɪv]
kamarád,crony [ˈkroʊ.ni]
křupavý,crusty [ˈkrʌs.ti]
kmín,cumin [ˈkuː.mɪn]
příbory,cutlery [ˈkʌt.lɚ.i]
nálepka,decal [ˈdiː.kæl]
opadavý,deciduous [dɪˈsɪdʒ.u.əs]
degenerativní,degenerative [dɪˈdʒen.ə.rə.t̬ɪv]
detekce,detract [dɪˈtrækt]
pitva,dissection [dɪˈsek.ʃən]
odlišný,dissimilar [ˌdɪsˈsɪm.ə.lɚ]
odradit,dissuade [dɪˈsweɪd]
destilace,distillation [ˌdɪs.təˈleɪ.ʃən]
fádní,drab [dræb]
lilek,eggplant [ˈeɡ.plænt]
nepřátelství,enmity [ˈen.mə.t̬i]
Eukalyptus,eucalyptus [ˌjuː.kəlˈɪp.təs]
vystavovatel,exhibitor [ɪɡˈzɪb.ɪ.t̬ɚ]
horentní,exorbitant [eɡˈzːɔr.bə.t̬ənt]
experimentálně,experimentally [ɪkˌsper.əˈmen.t̬əl.i]
fretka,ferret [ˈfer.ət]
finančník,financier [fɪˈnæn.si.ɚ]
montér,fitter [ˈfɪt̬.ɚ]
flagrantní,flagrant [ˈfleɪ.ɡrənt]
květinář,florist [ˈflɔːr.ɪst]
oděv,garb [ɡɑːrb]
glaukom,glaucoma [ɡlaʊˈkoʊ.mə]
zasklení,glazing [ˈɡleɪ.zɪŋ]
zrnitý,granular [ˈɡræn.jə.lɚ]
nazelenalý,greenish [ˈɡriː.nɪʃ]
obchod s potravinami,grocer [ˈɡroʊ.sɚ]
tápání,groping [ɡroʊp]
bezhlavý,headless [ˈhed.ləs]
hibernace,hibernation [ˌhaɪ.bɚˈneɪ.ʃən]
překážka,hindrance [ˈhɪn.drəns]
imunizace,immunization [ˌim.jə.nəˈzeɪ.ʃən]
implantace,implantation [ˌɪm.plænˈteɪ.ʃən]
nepřesnost,inaccuracy [ɪnˈæk.jɚ.ə.si]
neživý,inanimate [ɪˈnæn.ə.mət]
nevysvětlitelně,inexplicably [ˌɪn.ɪkˈsplɪk.ə.bli]
přestávka,intermission [ˌɪn.t̬ɚˈmɪʃ.ən]
nenahraditelný,irreplaceable [ˌɪr.əˈpleɪ.sə.bəl]
legislativa,legislate [ˈledʒ.ə.sleɪt]
matróna,matron [ˈmeɪ.trən]
masitý,meaty [ˈmiː.t̬i]
sousto,mouthful [ˈmaʊθ.fʊl]
skopové maso,mutton [ˈmʌt̬.ən]
Nestle,nestle [ˈnes.əl]
odtok,outflow [ˈaʊt.floʊ]
překonat,outperform [ˌaʊt.pɚˈfɔːrm]
předehra,overture [ˈoʊ.vɚ.tʃɚ]
pasivně,passively [ˈpæs.ɪv.li]
prodávání,peddling [ˈped.əl]
pepperoni,pepperoni [ˌpep.əˈroʊni]
perforovat,perforate [ˈpɝː.fə.reɪt]
vidle,pitchfork [ˈpɪtʃ.fɔːrk]
klidný,placid [ˈplæs.ɪd]
neštovice,pox [ˈpɑːks]
předstírání,pretense [prɪˈtens]
Progesteron,progesterone [proʊˈdʒes.tə.roʊn]
kvart,quart [kwɔːrt]
quinoa,quinoa [kɪnˈwɑː]
chátra,rabble [ˈræb.əl]
krokev,rafter [ˈræf.tɚ]
znovu se objevit,reappear [ˌriː.əˈpɪr]
Přehodnocení,rearrange [ˌriː.əˈreɪndʒ]
Vykupitel,redeemer [rɪˈdiː.mɚ]
občerstvení,refreshment [rɪˈfreʃ.mənt]
Reissue,reissue [ˌriːˈɪʃ.uː]
předělat,remade [ˌriːˈmeɪd]
odrazit,repulse [rɪˈpʌls]
odpor,resistor [rɪˈzɪs.tɚ]
rapsódie,rhapsody [ˈræp.sə.di]
Ruddy,ruddy [ˈrʌd.i]
runa,rune [ruːn]
pánev,saucepan [ˈsɑː.spən]
rozkol,schism [ˈskɪz.əm]
věšák,seer [sɪr]
ostrost,sharpness [ˈʃɑːrp.nəs]
Shelve,shelve [ʃelv]
Smite,smite [smaɪt]
elegantní,snappy [ˈsnæp.i]
šňupat,snort [snɔːrt]
sportovní chování,sportsmanship [ˈspɔːrts.mən.ʃɪp]
Stanza,stanza [ˈstæn.zə]
stipendium,stipend [ˈstaɪ.pend]
ubývat,subside [səbˈsaɪd]
smetanace,superannuation [ˌsuː.pɚˌæn.juˈeɪ.ʃən]
osladit,sweeten [ˈswiː.tən]
sladce,sweetly [ˈswiːt.li]
tampon,tampon [ˈtæm.pɑːn]
posměch,taunt [tɑːnt]
typografie,typography [taɪˈpɑː.ɡrə.fi]
ukulele,ukulele [ˌjuː.kəˈleɪ.li]
neodpustitelný,unforgivable [ˌʌn.fɚˈɡɪv.ə.bəl]
neobydlený,uninhabited [ˌʌn.ɪnˈhæb.ə.t̬ɪd]
neudržitelný,untenable [ʌnˈten.ə.bəl]
opravdový,veritable [ˈver.ə.t̬ə.bəl]
bradavice,wart [wɔːrt]
Watchman,watchman [ˈwɑːtʃ.mən]
jogurt,yoghurt [ˈjoʊ.ɡɚt]
nadšený,abject [ˈæb.dʒekt]
Actionvable,actionable [ˈæk.ʃən.ə.bəl]
afektivní,affective [əˈfek.tɪv]
Avield,afield [əˈfiːld]
vystoupit,alight [əˈlaɪt]
ohromení,amazement [əˈmeɪz.mənt]
jmenovaný,appointee [əˌpɔɪnˈtiː]
podpaží,armpit [ˈɑːrm.pɪt]
strohý,austere [ɑːˈstɪr]
trapnost,awkwardness [ˈɑː.kwɚd.nəs]
soudní vykonavatel,bailiff [ˈbeɪ.lɪf]
blažený,blissful [ˈblɪs.fəl]
Blister,blister [ˈblɪs.tɚ]
ucpání,blockage [ˈblɑː.kɪdʒ]
prevít,bugger [Výskyt nenalezen]
bóje,buoy [bɔɪ]
Bojovník,campaigner [ˌkæmˈpeɪ.nɚ]
řezba,carving [ˈkɑːr.vɪŋ]
Chalice,chalice [ˈtʃæl.ɪs]
vyznamenání,commendation [ˌkɑː.mənˈdeɪ.ʃən]
zásilka,consignment [kənˈsaɪn.mənt]
car,czar [zɑːr]
vévodství,duchy [ˈdʌtʃ.i]
vyčlenit,earmark [ˈɪr.mɑːrk]
ekumenický,ecumenical [ˌek.jəˈmen.ɪk.əl]
epizodický,episodic [ˌep.əˈsɑː.dɪk]
uplynutí,expiry [ˌek.spəˈreɪ.ʃən]
končetina,extremity [ɪkˈstrem.ə.t̬i]
věrnost,faithfulness [ˈfeɪθ.fəl.nəs]
stehenní kost,femur [ˈfiː.mɚ]
kolísat,fluctuate [ˈflʌk.tʃu.eɪt]
slepice,fowl [faʊl]
Foxy,foxy [ˈfɑːk.si]
piha,freckle [ˈfrek.əl]
želatina,gelatin [ˈdʒel.ə.tiːn]
těhotenství,gestation [dʒesˈteɪ.ʃən]
gilotina,guillotine [ˈɡɪl.ə.tiːn]
racek,gull [ɡʌl]
gusto,gusto [ˈɡʌs.toʊ]
čelenka,headband [ˈhed.bænd]
kýla,hernia [ˈhɝː.ni.ə]
ideologicky,ideologically [ˌaɪ.di.əˈlɑː.dʒɪ.kəl.i]
nerozlišující,indiscriminate [ˌɪn.dɪˈskrɪm.ə.nət]
individualismus,individualism [ˌɪn.dəˈvɪdʒ.u.ə.lɪ.zəm]
pekelný,infernal [ɪnˈfɝː.nəl]
zřídka,infrequently [ɪnˈfriː.kwənt.li]
vštípit,instill [ɪnˈstɪl]
Zrušení,invalidate [ɪnˈvæl.ə.deɪt]
jazzy,jazzy [ˈdʒæz.i]
Kingpin,kingpin [ˈkɪŋ.pɪn]
stánek,kiosk [ˈkiː.ɑːsk]
čočka,lentil [ˈlen.t̬əl]
malomocenství,leprosy [ˈlep.rə.si]
lisp,lisp [lɪsp]
kobylka,locust [ˈloʊ.kəst]
Mallet,mallet [ˈmæl.ɪt]
pelichání,mew [mjuː]
vojensky,militarily [ˌmɪl.əˈter.əl.i]
nehoda,mishap [ˈmɪs.hæp]
monolitické,monolithic [ˌmɑː.nəˈlɪθ.ɪk]
Motoring,motoring [ˈmoʊ.t̬ɚ.ɪŋ]
narkotický,narcotic [nɑːrˈkɑːt̬.ɪk]
odchozí,outbound [ˈaʊt.baʊnd]
přemoci,overpower [ˌoʊ.vɚˈpaʊ.ɚ]
přepracování,overwork [ˌoʊ.vɚˈwɝːk]
pantomima,pantomime [ˈpæn.t̬ə.maɪm]
mírová míru,peacetime [ˈpiːs.taɪm]
Pita,pita [ˈpiː.t̬ə]
prázdno,playtime [ˈpleɪ.taɪm]
predikát,predicate [ˈpred.ə.kət]
předvídatelně,predictably [prɪˈdɪk.tə.bli]
potomstvo,progeny [ˈprɑː.dʒə.ni]
potlačit,quell [kwel]
závodní dráha,racecourse [ˈreɪs.kɔːrs]
reflektor,reflector [rɪˈflek.tɚ]
plukovní,regimental [ˌredʒ.əˈmen.t̬əl]
rehabilitovat,rehabilitate [ˌriː.həˈbɪl.ə.teɪt]
reorganizovat,reorganize [riːˈɔːr.ɡən.aɪz]
přísně,rigorously [ˈrɪɡ.ɚ.əs.li]
hřad,roost [ruːst]
síto,sieve [sɪv]
práh,sill [sɪl]
stříbřitý,silvery [ˈsɪl.vɚ.i]
hihňání,snicker [ˈsnɪk.ɚ]
sólista,soloist [ˈsoʊ.loʊ.ɪst]
bolestivost,soreness [ˈsɔːr.nəs]
Jižan,southerner [ˈsʌð.ɚ.nɚ]
sfinga,sphinx [sfɪŋks]
hvězdice,starfish [ˈstɑːr.fɪʃ]
potlačit,stifle [ˈstaɪ.fəl]
sukulentní,succulent [ˈsʌk.jə.lənt]
skvěle,superbly [suːˈpɝːb.li]
nadbytečný,superfluous [suːˈpɝː.flu.əs]
Swain,swain [sweɪn]
vkusný,tasteful [ˈteɪst.fəl]
transcendentální,transcendental [ˌtræn.senˈden.t̬əl]
travestie,travesty [ˈtræv.ə.sti]
triky,tricking [trɪk]
nepohodlně,uncomfortably [ʌnˈkʌmf.tɚ.bli]
pomstychtivý,vengeful [ˈvendʒ.fəl]
co,whatnot [ˈwɑːt.nɑːt]
bělost,whiteness [ˈwaɪt.nəs]
proutěný,wicker [ˈwɪk.ɚ]
škubnutí,yank [jæŋk]
zašpinit,aback [əˈbæk]
rezervovaný,aloof [əˈluːf]
amulet,amulet [ˈæm.jə.lət]
anotace,annotation [ˌæn.əˈteɪ.ʃən]
omluvný,apologetic [əˌpɑː.ləˈdʒet̬.ɪk]
Arcane,arcane [ɑːrˈkeɪn]
aristokrat,aristocrat [əˈrɪs.stə.kræt]
holičství,barbershop [ˈbɑːr.bɚ.ʃɑːp]
Beanie,beanie [ˈbiː.ni]
zatemnit,blacken [ˈblæk.ən]
Bronco,bronco [ˈbrɑːŋ.koʊ]
kamarádství,camaraderie [ˌkæm.əˈrɑː.dɚ.i]
sud,cask [kæsk]
mola,catwalk [ˈkæt.wɑːk]
klasicky,classically [ˈklæs.ɪ.kəl.i]
konfiskace,confiscation [ˌkɑːn.fəˈskeɪ.ʃən]
odvod,conscription [kənˈskrɪp.ʃən]
lebeční,cranial [ˈkreɪ.ni.əl]
kriminalita,criminality [ˌkrɪm.əˈnæl.ə.t̬i]
dekapitace,decapitate [dɪˈkæp.ə.teɪt]
zastrašování,deterrence [dɪˈter.ənts]
odporný,distasteful [dɪsˈteɪst.fəl]
Dud,dud [dʌd]
Peřina,duvet [duːˈveɪ]
efemérní,ephemeral [ɪˈfem.ɚ.əl]
titulní,eponymous [ɪˈpɑː.nə.məs]
etnografický,ethnographic [ˌeθ.noʊˈɡræf.ɪk]
mimoškolní,extracurricular [ˌek.strə.kəˈrɪk.jə.lɚ]
nepřítomný,faraway [ˌfɑːr.əˈweɪ]
letec,flier [ˈflaɪ.ɚ]
pěšina,footpath [ˈfʊt.pæθ]
předchůdce,forerunner [ˈfɔːrˌrʌn.ɚ]
vzdát se,forgo [fɔːrˈɡoʊ]
průčelí,frontage [ˈfrʌn.t̬ɪdʒ]
zmařit,frustrate [ˈfrʌs.treɪt]
Fryer,fryer [ˈfraɪ.ɚ]
bota,goof [ɡuːf]
houkání,hoot [huːt]
humanismus,humanism [ˈhjuː.mə.nɪ.zəm]
vtělení,incarnate [ɪnˈkɑːr.nət]
nesrovnatelný,incomparable [ɪnˈkɑːm.pɚ.ə.bəl]
Informer,informer [ɪnˈfɔːr.mɚ]
Obavní,infrequent [ɪnˈfriː.kwənt]
požití,ingestion [ɪnˈʤes.tʃən]
internace,internment [ɪnˈtɝːn.mənt]
Juggernaut,juggernaut [ˈdʒʌɡ.ɚ.nɑːt]
nevýrazný,lackluster [ˈlækˌlʌs.tɚ]
larva,larva [ˈlɑːr.və]
lint,lint [lɪnt]
živý,livid [ˈlɪv.ɪd]
nížina,lowland [ˈloʊ.lənd]
lahodný,luscious [ˈlʌʃ.əs]
Luxe,luxe [lʌks]
zvětšit,magnify [ˈmæɡ.nə.faɪ]
žlab,manger [ˈmeɪn.dʒɚ]
manikúra,manicure [ˈmæn.ə.kjʊr]
zhmotnit,materialize [məˈtɪr.i.ə.laɪz]
zrání,maturation [ˌmætʃ.əˈreɪ.ʃən]
slída,mica [ˈmaɪ.kə]
nepatrná,minuscule [ˈmɪn.ə.skjuːl]
nesprávně napsat,misspell [ˌmɪsˈspel]
molární,molar [ˈmoʊ.lɚ]
obtěžování,molestation [ˌmɑː.lesˈteɪ.ʃən]
kaše,mush [mʌʃ]
Navigační,navigational [ˌnæv.əˈɡeɪ.ʃən.əl]
normalizace,normalization [ˈnɔːr.məl]
onyx,onyx [ˈɑː.nɪks]
osteoporóza,osteoporosis [ˌɑː.sti.oʊ.pəˈroʊ.sɪs]
vnímavý,perceptive [pɚˈsep.tɪv]
Peri,peri [ˈper.iˌper.i]
Sběratel,picker [ˈpɪk.ɚ]
bezpečnostní,precautionary [prɪˈkɑː.ʃən.er.i]
sraženina,precipitate [prɪˈsɪp.ə.teɪt]
Rani,rani [ˈrɑː.niː]
Rayon,rayon [ˈreɪ.ɑːn]
bezohledně,recklessly [ˈrek.ləs.li]
regionálně,regionally [ˈriː.dʒən.əl.i]
obnovení,reinstatement [ˌriː.ɪnˈsteɪt.mənt]
tuhost,rigidity [rɪˈdʒɪd.ə.t̬i]
nýt,rivet [ˈrɪv.ɪt]
Rosewood,rosewood [ˈroʊz.wʊd]
Sable,sable [ˈseɪ.bəl]
čistit,scour [ˈskaʊ.ɚ]
sedativní,sedative [ˈsed.ə.t̬ɪv]
senilní,senile [ˈsiː.naɪl]
Setter,setter [ˈset̬.ɚ]
sáně,sleigh [sleɪ]
pramen,sliver [ˈslɪv.ɚ]
rozbředlý sníh,slush [slʌʃ]
měkkost,softness [ˈsɑːft.nəs]
Sordid,sordid [ˈsɔːr.dɪd]
Springboard,springboard [ˈsprɪŋ.bɔːrd]
Stazi,stasis [ˈsteɪ.sɪs]
Stonewall,stonewall [ˈstoʊn.wɑːl]
dusný,sultry [ˈsʌl.tri]
výživa,sustenance [ˈsʌs.tən.əns]
otočný,swivel [ˈswɪv.əl]
slzy,tearful [ˈtɪr.fəl]
mlácení,thrashing [ˈθræʃ.ɪŋ]
Toolbox,toolbox [ˈtuːl.bɑːks]
Hlakování,toying [tɔɪ]
nerušený,undisturbed [ˌʌn.dɪˈstɝːbd]
Unhelpful,unhelpful [ʌnˈhelp.fəl]
neinformovaný,uninformed [ˌʌn.ɪnˈfɔːrmd]
nevhodné,unkind [ʌnˈkaɪnd]
nereagující,unresponsive [ˌʌn.rɪˈspɑːn.sɪv]
nezraněný,unscathed [ʌnˈskeɪðd]
nepodporovaný,unsupported [ˌʌn.səˈpɔːr.t̬ɪd]
obhájit,vindicate [ˈvɪn.də.keɪt]
Whirlpool,whirlpool [ˈwɝːl.puːl]
vous,whisker [ˈwɪs.kɚ]
bělavý,whitish [ˈwaɪ.t̬ɪʃ]
velkoobchodník,wholesaler [ˈhoʊlˌseɪ.lɚ]
horlivý,zealous [ˈzel.əs]
Aberace,aberration [ˌæb.əˈreɪ.ʃən]
meruňka,apricot [ˈæp·rˌkɑt]
rozhodce,arbiter [ˈɑːr.bə.t̬ɚ]
rozhodce,arbitrator [ˈɑːr.bə.treɪ.t̬ɚ]
archanděl,archangel [ˈɑːr.keɪn.dʒəl]
atleticismus,athleticism [æθˈlet̬.ə.sɪ.zəm]
Krevní linie,bloodline [ˈblʌd.laɪn]
vznášející se,buoyant [ˈbɔɪ.ənt]
huňatý,bushy [ˈbʊʃ.i]
shon,bustle [ˈbʌs.əl]
kalorický,caloric [kəˈlɔː.rɪk]
kapitán,captaincy [ˈkæp.tən.si]
karbid,carbide [ˈkɑːr.baɪd]
karmín,carmine [/kəˈlæb.ə.reɪt/]
předsednictví,chairmanship [ˈtʃer.mən.ʃɪp]
mat,checkmate [ˈtʃek.meɪt]
vesele,cheerfully [ˈtʃɪr.fəl.i]
lékař,clinician [klɪˈnɪʃ.ən]
donucovací,coercive [koʊˈɝː.sɪv]
kolie,collie [ˈkɑː.li]
